site,id,event,event_code,year,first_yes_doy,tag
HARV,NEON.PLA.D01.HARV.06046,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06046,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06046,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06041,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06041,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06041,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06029,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06029,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06029,colored_leaf,4,2013,235,training
HARV,NEON.PLA.D01.HARV.06055,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06055,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06055,colored_leaf,4,2013,256,training
HARV,NEON.PLA.D01.HARV.06016,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06016,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06016,colored_leaf,4,2013,267,training
HARV,NEON.PLA.D01.HARV.06034,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06034,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06034,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06025,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06025,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06025,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06035,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06039,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06039,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06039,colored_leaf,4,2013,256,training
HARV,NEON.PLA.D01.HARV.06007,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06007,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06007,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06001,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06001,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06001,colored_leaf,4,2013,248,training
HARV,NEON.PLA.D01.HARV.06071,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06018,fallen_leaf,5,2013,275,training
HARV,NEON.PLA.D01.HARV.06018,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06018,colored_leaf,4,2013,241,training
HARV,NEON.PLA.D01.HARV.06074,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06080,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06075,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06077,full_leaf,3,2013,256,training
HARV,NEON.PLA.D01.HARV.06026,fallen_leaf,5,2013,284,training
HARV,NEON.PLA.D01.HARV.06026,full_leaf,3,2013,256,training
