site,date,dayl,srad,tmax,tmin,temp,prcp,swe,vp
HARV,2001-01-01,32191.29,181.59,-2.77,-12.73,-9.135,0,22.49,229.7
HARV,2001-01-02,32237.02,216.29,-4.43,-17.07,-12.965,0,22.49,160.48
HARV,2001-01-03,32286.48,243.94,-1.67,-17.47,-10.405,0,22.49,155.15
HARV,2001-01-04,32339.64,233.22,-2.66,-16.86,-11.09,0,22.49,163.29
HARV,2001-01-05,32396.46,168.27,-1.55,-14.8,-8.950000000000001,5.29,27.78,193.85
HARV,2001-01-06,32456.89,191.58,1.18,-9.21,-3.4250000000000007,0,27.78,304.36
HARV,2001-01-07,32520.89,185.34,1.07,-8.81,-3.335,0,27.78,313.96
HARV,2001-01-08,32588.42,183.58,2.53,-12.73,-3.835,3.51,31.29,229.78
HARV,2001-01-09,32659.42,122.41,-2.84,-11.12,-8.399999999999999,2.66,33.95,261.53
HARV,2001-01-10,32733.85,186.77,-5.38,-14.92,-12.84,0,33.95,192.02
HARV,2001-01-11,32811.65,270,2.48,-15.42,-5.23,0,33.95,184.15
HARV,2001-01-12,32892.76,200.23,-2.27,-12.56,-8.55,0,33.95,232.86
HARV,2001-01-13,32977.15,265.32,-0.74,-17.06,-9.27,0,33.95,160.61
HARV,2001-01-14,33064.74,254.34,2.72,-12.14,-3.35,0,33.95,240.98
HARV,2001-01-15,33155.47,120.47,1.37,-6.42,-1.84,2.37,36.32,378.01
HARV,2001-01-16,33249.3,246.77,3.27,-10.34,-1.9,0,36.32,278.26
HARV,2001-01-17,33346.16,181.63,2.43,-6.36,-0.75,0,36.32,379.74
HARV,2001-01-18,33445.99,229.3,-2.56,-14.16,-9.64,0,36.32,204.44
HARV,2001-01-19,33548.73,172.38,0.6,-10.99,-4.8950000000000005,5.64,41.96,264.26
HARV,2001-01-20,33654.31,91.83,-0.84,-6.28,-3.98,6.22,48.18,382.18
HARV,2001-01-21,33762.67,155.69,-2.86,-12.51,-9.115,6.39,54.57,233.75
HARV,2001-01-22,33873.76,301.1,-0.67,-18.54,-9.94,0,54.57,141.65
HARV,2001-01-23,33987.49,314.25,0.18,-19.72,-9.68,0,54.57,127.92
HARV,2001-01-24,34103.82,303.93,1.68,-15.83,-6.235,0,54.57,177.93
HARV,2001-01-25,34222.68,268.17,1.72,-11.56,-4.0600000000000005,0,54.57,252.45
HARV,2001-01-26,34344,286.04,-0.94,-15.46,-8.67,0,54.57,183.59
HARV,2001-01-27,34467.72,220.89,-0.64,-10.35,-5.8149999999999995,0,54.57,278.05
HARV,2001-01-28,34593.78,228.07,-0.1,-10.1,-5.1499999999999995,0,54.57,283.69
HARV,2001-01-29,34722.11,316.29,0.78,-16.25,-7.345,0,54.57,171.86
HARV,2001-01-30,34852.65,238.99,3.45,-13.37,-3.234999999999999,17.28,71.85,218.1
HARV,2001-01-31,34985.33,163.6,5.54,-3.63,3.725,6.87,70.85,467.17
HARV,2001-02-01,35120.1,207.46,4.44,-3.93,2.4750000000000005,0,69.98,456.7
HARV,2001-02-02,35256.89,158.23,-0.22,-8.39,-4.415,2.86,72.84,324.51
HARV,2001-02-03,35395.64,216.58,-3.61,-11.7,-9.46,0,72.84,249.6
HARV,2001-02-04,35536.29,321.77,-2.49,-16.66,-10.82,0,72.84,166.05
HARV,2001-02-05,35678.78,228.4,-0.3,-12.48,-6.54,43.07,115.91,234.33
HARV,2001-02-06,35823.05,239.86,3.59,-5.1,1.04,0,115.53,418.18
HARV,2001-02-07,35969.04,200.33,1.94,-4.85,-0.4849999999999999,0,115.05,425.97
